cycle_id,entry_time,expiry_date,type,side,strike,entry_price,entry_delta,close_price,close_time,close_reason,status,highest_pnl_cycle,lowest_pnl_cycle,pnl,trade_date
1,2024-01-05 12:35:00+00:00,2024-01-05,CE,S,4710.0,8.05,0.20366118173195957,0.025,2024-01-05 20:55:00+00:00,expiry_close,CLOSED,1002.5,-504.9999999999999,802.5,2024-01-05
1,2024-01-05 12:35:00+00:00,2024-01-05,PE,S,4650.0,2.175,-0.19473106129003126,0.025,2024-01-05 20:55:00+00:00,expiry_close,CLOSED,1002.5,-504.9999999999999,215.0,2024-01-05
1,2024-01-05 12:35:00+00:00,2024-01-05,PE,B,4600.0,0.175,-0.011156387550228741,0.025,2024-01-05 20:55:00+00:00,expiry_close,CLOSED,1002.5,-504.9999999999999,-15.0,2024-01-05
1,2024-01-08 14:30:00+00:00,2024-01-08,CE,S,4720.0,3.45,0.20169616034073157,44.349999999999994,2024-01-08 20:55:00+00:00,expiry_close,CLOSED,12.499999999999991,-3984.999999999999,-4089.999999999999,2024-01-08
1,2024-01-08 14:30:00+00:00,2024-01-08,PE,S,4680.0,1.125,-0.1957832530759308,0.025,2024-01-08 20:55:00+00:00,expiry_close,CLOSED,12.499999999999991,-3984.999999999999,110.00000000000001,2024-01-08
1,2024-01-08 14:30:00+00:00,2024-01-08,CE,B,4770.0,0.07500000000000001,0.001689526515717854,0.025,2024-01-08 20:55:00+00:00,expiry_close,CLOSED,12.499999999999991,-3984.999999999999,-5.000000000000001,2024-01-08
1,2024-01-08 14:30:00+00:00,2024-01-08,PE,B,4630.0,0.1,-0.0013826741917768448,0.05,2024-01-08 20:55:00+00:00,expiry_close,CLOSED,12.499999999999991,-3984.999999999999,-5.0,2024-01-08
1,2024-01-09 14:30:00+00:00,2024-01-09,CE,S,4755.0,2.725,0.20345326647895468,0.39999999999999997,2024-01-09 20:55:00+00:00,expiry_close,CLOSED,417.5,-792.5000000000002,232.50000000000003,2024-01-09
1,2024-01-09 14:30:00+00:00,2024-01-09,PE,S,4715.0,1.9249999999999998,-0.19752396739852895,0.025,2024-01-09 20:55:00+00:00,expiry_close,CLOSED,417.5,-792.5000000000002,190.0,2024-01-09
1,2024-01-09 14:30:00+00:00,2024-01-09,CE,B,4805.0,0.07500000000000001,0.0018106237253219248,0.025,2024-01-09 20:55:00+00:00,expiry_close,CLOSED,417.5,-792.5000000000002,-5.000000000000001,2024-01-09
1,2024-01-09 14:30:00+00:00,2024-01-09,PE,B,4665.0,0.125,-0.0014867515335232895,0.05,2024-01-09 20:55:00+00:00,expiry_close,CLOSED,417.5,-792.5000000000002,-7.5,2024-01-09
1,2024-01-10 14:30:00+00:00,2024-01-10,CE,S,4770.0,5.9,0.20420115070544065,0.05,2024-01-10 21:00:00+00:00,expiry_close,CLOSED,257.5,-1397.5,585.0,2024-01-10
1,2024-01-10 14:30:00+00:00,2024-01-10,PE,S,4730.0,0.625,-0.19826493479296536,0.05,2024-01-10 21:00:00+00:00,expiry_close,CLOSED,257.5,-1397.5,57.49999999999999,2024-01-10
1,2024-01-10 14:30:00+00:00,2024-01-10,CE,B,4820.0,0.07500000000000001,0.001864323377448962,0.05,2024-01-10 21:00:00+00:00,expiry_close,CLOSED,257.5,-1397.5,-2.500000000000001,2024-01-10
1,2024-01-10 14:30:00+00:00,2024-01-10,PE,B,4680.0,0.07500000000000001,-0.001533002855304999,0.05,2024-01-10 21:00:00+00:00,expiry_close,CLOSED,257.5,-1397.5,-2.500000000000001,2024-01-10
