status,trade_date,trade_count,cycle_count,total_pnl,max_profit_seen,max_loss_seen
ok,2024-01-05,3,1,1002.5,1002.5,-504.9999999999999
ok,2024-01-08,4,1,-3989.999999999999,12.499999999999991,-3984.999999999999
ok,2024-01-09,4,1,410.0,417.5,-792.5000000000002
ok,2024-01-10,4,1,637.5,257.5,-1397.5
